country,code,year,life_expectancy,pm25,undernourishment,gdp_per_capita,log_gdp_per_capita
Cameroon,CMR,2018,61.1888,57.80493,6.2,2815.3162,3.4495271793661133
Democratic Republic of Congo,COD,2018,59.9265,31.46394,32.3,796.89246,2.90139971765737
Congo,COG,2018,64.472,29.26944,29.8,4637.726,3.6663050866471227
Colombia,COL,2018,76.5791,14.72127,4.3,13485.702,4.129873558633998
Comoros,COM,2018,65.4009,14.41939,13.1,1801.6912,3.2556803573266033
Cape Verde,CPV,2018,74.8397,31.19557,15.2,6848.757,3.8356117573281203
Costa Rica,CRI,2018,80.0896,15.59229,2.5,14583.144,4.163851164218852
Cuba,CUB,2018,77.4259,14.28114,2.5,8262.988,3.9171371220487634
Cyprus,CYP,2018,81.5558,15.38302,2.5,29089.975,4.4637433480134145
Czechia,CZE,2018,78.9612,17.50349,2.5,31405.09,4.497000042333226
Germany,DEU,2018,80.8747,11.69647,2.5,46377.39,4.666306304015365
Djibouti,DJI,2018,64.1051,20.38832,12.2,3308.117,3.5195808610848065
Dominica,DMA,2018,71.3779,8.74675,10.1,9153.232,3.961574470233029
Denmark,DNK,2018,80.9909,10.01519,2.5,47717.457,4.6786772908177605
Dominican Republic,DOM,2018,73.5553,8.00486,5.8,15944.744,4.202617550842705
Algeria,DZA,2018,75.5554,22.72761,2.5,14083.772,4.148718985729063
Ecuador,ECU,2018,77.2484,16.3823,11.1,10716.904,4.030069340402076
Egypt,EGY,2018,70.9741,62.19745,6.8,11895.312,4.075375837554566
Spain,ESP,2018,83.0956,10.07741,2.5,34553.625,4.538493615672986
Estonia,EST,2018,78.3339,6.70458,2.5,27596.41,4.440852588637757
Ethiopia,ETH,2018,65.2573,22.23241,17.9,1936.8275,3.287090942797506
Finland,FIN,2018,81.6265,5.57078,2.5,39430.906,4.5958367559289215
France,FRA,2018,82.5682,11.22835,2.5,38555.465,4.586085945321525
Gabon,GAB,2018,67.0426,26.25771,17.6,16253.897,4.210957503326657
United Kingdom,GBR,2018,81.1229,10.06647,2.5,38704.6,4.587762583517531
Georgia,GEO,2018,73.9847,20.65794,5.5,12035.715,4.080471895303272
Ghana,GHA,2018,64.1382,48.04326,7.8,3983.1216,3.6002235651095225
Guinea,GIN,2018,59.0434,37.9553,12.6,1642.1047,3.2154008441248525
Gambia,GMB,2018,64.0339,39.85939,14.2,1886.0532,3.2755539387409596
Guinea-Bissau,GNB,2018,61.6516,35.89896,28.0,1511.8668,3.1795135302040722
